date,visiting_team,visiting_league,home_team,home_league,time
20230330,BAL,AL,BOS,AL,d
20230330,MIL,NL,CHN,NL,d
20230330,PIT,NL,CIN,NL,d
20230330,CHA,AL,HOU,AL,n
20230330,MIN,AL,KCA,AL,d
20230330,ARI,NL,LAN,NL,n
20230330,NYN,NL,MIA,NL,d
20230330,SFN,NL,NYA,AL,d
20230330,ANA,AL,OAK,AL,n
20230330,COL,NL,SDN,NL,d
20230330,CLE,AL,SEA,AL,n
20230330,TOR,AL,SLN,NL,d
20230330,DET,AL,TBA,AL,d
20230330,PHI,NL,TEX,AL,d
20230330,ATL,NL,WAS,NL,d
20230331,CHA,AL,HOU,AL,n
20230331,ARI,NL,LAN,NL,n
20230331,NYN,NL,MIA,NL,n
20230331,COL,NL,SDN,NL,n
20230331,CLE,AL,SEA,AL,n
20230401,BAL,AL,BOS,AL,d
20230401,MIL,NL,CHN,NL,d
20230401,PIT,NL,CIN,NL,d
20230401,CHA,AL,HOU,AL,d
20230401,MIN,AL,KCA,AL,d
20230401,ARI,NL,LAN,NL,n
20230401,NYN,NL,MIA,NL,d
20230401,SFN,NL,NYA,AL,d
20230401,ANA,AL,OAK,AL,d
20230401,COL,NL,SDN,NL,d
20230401,CLE,AL,SEA,AL,n
20230401,TOR,AL,SLN,NL,d
20230401,DET,AL,TBA,AL,d
20230401,PHI,NL,TEX,AL,d
20230401,ATL,NL,WAS,NL,d
20230402,BAL,AL,BOS,AL,d
20230402,MIL,NL,CHN,NL,d
20230402,PIT,NL,CIN,NL,d
20230402,CHA,AL,HOU,AL,d
20230402,MIN,AL,KCA,AL,d
20230402,ARI,NL,LAN,NL,d
20230402,NYN,NL,MIA,NL,d
20230402,SFN,NL,NYA,AL,d
20230402,ANA,AL,OAK,AL,d
20230402,COL,NL,SDN,NL,d
20230402,CLE,AL,SEA,AL,d
20230402,TOR,AL,SLN,NL,d
20230402,DET,AL,TBA,AL,d
20230402,PHI,NL,TEX,AL,n
20230402,ATL,NL,WAS,NL,d
20230403,PIT,NL,BOS,AL,n
20230403,SFN,NL,CHA,AL,d
20230403,CHN,NL,CIN,NL,n
20230403,DET,AL,HOU,AL,n
20230403,TOR,AL,KCA,AL,n
20230403,COL,NL,LAN,NL,n
20230403,MIN,AL,MIA,NL,n
20230403,NYN,NL,MIL,NL,d
20230403,PHI,NL,NYA,AL,n
20230403,CLE,AL,OAK,AL,n
20230403,ARI,NL,SDN,NL,n
20230403,ANA,AL,SEA,AL,n
20230403,ATL,NL,SLN,NL,n
20230403,BAL,AL,TEX,AL,n
20230403,TBA,AL,WAS,NL,n
20230404,PIT,NL,BOS,AL,n
20230404,CHN,NL,CIN,NL,n
20230404,DET,AL,HOU,AL,n
20230404,TOR,AL,KCA,AL,n
20230404,COL,NL,LAN,NL,n
20230404,MIN,AL,MIA,NL,n
20230404,NYN,NL,MIL,NL,n
20230404,PHI,NL,NYA,AL,n
20230404,CLE,AL,OAK,AL,n
20230404,ARI,NL,SDN,NL,d
20230404,ANA,AL,SEA,AL,n
20230404,ATL,NL,SLN,NL,n
20230404,BAL,AL,TEX,AL,n
20230404,TBA,AL,WAS,NL,n
20230405,PIT,NL,BOS,AL,d
20230405,SFN,NL,CHA,AL,d
20230405,CHN,NL,CIN,NL,n
20230405,DET,AL,HOU,AL,
20230405,TOR,AL,KCA,AL,n
20230405,MIN,AL,MIA,NL,d
20230405,NYN,NL,MIL,NL,n
20230405,PHI,NL,NYA,AL,d
20230405,CLE,AL,OAK,AL,n
20230405,ANA,AL,SEA,AL,d
20230405,ATL,NL,SLN,NL,n
20230405,BAL,AL,TEX,AL,d
20230405,TBA,AL,WAS,NL,d
20230406,LAN,NL,ARI,NL,n
20230406,SDN,NL,ATL,NL,n
20230406,NYA,AL,BAL,AL,d
20230406,SFN,NL,CHA,AL,d
20230406,WAS,NL,COL,NL,d
20230406,BOS,AL,DET,AL,d
20230406,TOR,AL,KCA,AL,d
20230406,HOU,AL,MIN,AL,d
20230406,MIA,NL,NYN,NL,d
20230406,CIN,NL,PHI,NL,d
20230407,TOR,AL,ANA,AL,n
20230407,LAN,NL,ARI,NL,n
20230407,SDN,NL,ATL,NL,n
20230407,TEX,AL,CHN,NL,d
20230407,SEA,AL,CLE,AL,d
20230407,WAS,NL,COL,NL,n
20230407,SLN,NL,MIL,NL,n
20230407,CHA,AL,PIT,NL,d
20230407,KCA,AL,SFN,NL,d
20230407,OAK,AL,TBA,AL,n
20230408,TOR,AL,ANA,AL,n
20230408,LAN,NL,ARI,NL,d
20230408,SDN,NL,ATL,NL,n
20230408,NYA,AL,BAL,AL,n
20230408,TEX,AL,CHN,NL,d
20230408,SEA,AL,CLE,AL,n
20230408,WAS,NL,COL,NL,n
20230408,BOS,AL,DET,AL,d
20230408,SLN,NL,MIL,NL,n
20230408,HOU,AL,MIN,AL,d
20230408,MIA,NL,NYN,NL,d
20230408,CIN,NL,PHI,NL,d
20230408,CHA,AL,PIT,NL,n
20230408,KCA,AL,SFN,NL,d
20230408,OAK,AL,TBA,AL,d
20230409,TOR,AL,ANA,AL,d
20230409,LAN,NL,ARI,NL,d
20230409,SDN,NL,ATL,NL,n
20230409,NYA,AL,BAL,AL,d
20230409,TEX,AL,CHN,NL,d
20230409,SEA,AL,CLE,AL,d
20230409,WAS,NL,COL,NL,d
20230409,BOS,AL,DET,AL,d
20230409,SLN,NL,MIL,NL,d
20230409,HOU,AL,MIN,AL,d
20230409,MIA,NL,NYN,NL,d
